date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:31:22	4577/4577	---M-Z	200	added ('OK')	text/html	etag:%2211e1-62cff77629cc1-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/errors/maintenance.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/errors/maintenance.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:23	1754828/1754828	---MCZ	200	added ('OK')	text/html	etag:%221ac6cc-62cff77624e9f-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/errors/error404.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/errors/error404.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:23	101787/101787	---M-Z	200	added ('OK')	text/html	etag:%2218d9b-62cff7762cba2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-avatars.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-avatars.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:23	1975185/1975185	---MCZ	200	added ('OK')	text/html	etag:%221e2391-62cff77629cc1-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/errors/error500.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/errors/error500.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:24	105605/105605	---M-Z	200	added ('OK')	text/html	etag:%2219c85-62cff7762cba2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-alerts.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-alerts.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:24	101485/101485	---M-Z	200	added ('OK')	text/html	etag:%2218c6d-62cff7762cba2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-badges.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-badges.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:24	109823/109823	---M-Z	200	added ('OK')	text/html	etag:%221acff-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-breadcrumb.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-breadcrumb.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:24	153856/153856	---M-Z	200	added ('OK')	text/html	etag:%2225900-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-buttons.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-buttons.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:25	109288/109288	---M-Z	200	added ('OK')	text/html	etag:%221aae8-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-buttons-group.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-buttons-group.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:25	96513/96513	---M-Z	200	added ('OK')	text/html	etag:%2217901-62cff7762cba2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-boxshadow.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-boxshadow.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:25	101358/101358	---M-Z	200	added ('OK')	text/html	etag:%2218bee-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-color.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-color.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:25	116511/116511	---M-Z	200	added ('OK')	text/html	etag:%221c71f-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-cards.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-cards.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:26	101230/101230	---M-Z	200	added ('OK')	text/html	etag:%2218b6e-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-carousel.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-carousel.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:26	113337/113337	---M-Z	200	added ('OK')	text/html	etag:%221bab9-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-grid.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-grid.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:26	107677/107677	---M-Z	200	added ('OK')	text/html	etag:%221a49d-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-helper-classes.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-helper-classes.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:26	103633/103633	---M-Z	200	added ('OK')	text/html	etag:%22194d1-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-images.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-images.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:27	106235/106235	---M-Z	200	added ('OK')	text/html	etag:%2219efb-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-list-group.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-list-group.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:27	114677/114677	---M-Z	200	added ('OK')	text/html	etag:%221bff5-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-modal.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-modal.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:27	105957/105957	---M-Z	200	added ('OK')	text/html	etag:%2219de5-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-notifications.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-notifications.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:27	105138/105138	---M-Z	200	added ('OK')	text/html	etag:%2219ab2-62cff7762eae2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-pagination.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-pagination.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:28	99437/99437	---M-Z	200	added ('OK')	text/html	etag:%221846d-62cff7762eae2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-popovers.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-popovers.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:28	99210/99210	---M-Z	200	added ('OK')	text/html	etag:%221838a-62cff7762eae2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-typography.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-typography.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:28	113840/113840	---M-Z	200	added ('OK')	text/html	etag:%221bcb0-62cff7762eae2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-tabs.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-tabs.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:29	96967/96967	---M-Z	200	added ('OK')	text/html	etag:%2217ac7-62cff7762eae2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-tooltips.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-tooltips.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:29	93929/93929	---M-Z	200	added ('OK')	text/html	etag:%2216ee9-62cff7762db42-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-embed-video.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/ui-elements/ui-embed-video.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:29	127937/127937	---M-Z	200	added ('OK')	text/html	etag:%221f3c1-62cff7762eae2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/widget/widgetbasic.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/widget/widgetbasic.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
